name,scientific_name,genus_species_variety,genus_species_original,description,image_url,producttilelink_URL,light_level,amount_light,water_needs,bloom_time,bloom_seasons,type,Text3,Text4,soil_type,Text5,height_text,height_num,Height,Text6,Text7,Text8,width,temperature,humidity,Text9,care_instructions,common_issues,grow_zones,grow_zones_text,Text12,Text13
"Wand Flower, Whirling Butterflies, Oenothera",Gaura Whirling Butterflies,#VALUE!,"
      Gaura lindheimeri 'Whirling Butterflies' 
    ","Flowers are held at the tips of long dark stems. The long wands sway and dance in the breeze, hence its common name - Wand Flower. Bright white flowers with red sepals make Whirling Butterflies the perfect whimsical specimen for your wildflower garden. More compact, very free flowering, and won't self-seed. The airy texture provides a stunning accent in a mixed perennial border. A native to southern United States, Gaura will withstand heat and drought once established.",https://www.bluestoneperennials.com/img/GAWB/300/GAWB_0_Gaura_Whirling-Butterflies.jpg.webp,https://www.bluestoneperennials.com/GAWB,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Early Summer to Early Fall,"summer,fall",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            

              
            
                Early Summer to Early Fall
            ","Normal, Sandy","
              
               Normal, Sandy
            ",Tall,"36""","Tall 36""","
              Tall 36"" 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","

              Low
            ","20""",,,"
              Plant 20"" apart
            ","Gaura thrives in sandy, loamy, well-drained soils in full sun, with good drainage being essential to prevent root rot, especially during winter. Plant them in a site with excellent drainage or in a raised bed, noting that their deep tap root makes transplanting difficult. Although hardy to zone 5, northern areas require extra winter protection. For winter care, prune stems back to 4-6 inches above ground in late fall, water well before ground freezing, and apply a 2-3 inch layer of mulch (keeping it away from stems) to insulate roots and prevent heaving; remove mulch when spring warming begins. These heat and drought-tolerant plants benefit from regular pruning: cut back stems after the first main bloom in early summer for reblooming, reduce height by half when plants reach 12-15 inches tall, and trim by half or two-thirds in mid-June or early July for bushier growth. A final cut to the base in late fall or early spring will rejuvenate growth. While maintenance is important, Gaura won't self-sow, making it easier to control in the garden.",,"5,6,7,8,9,10",5-10,"
    Gaura thrives in sandy, loamy, well-drained soils in full sun, with good drainage being essential to prevent root rot, especially during winter. Plant them in a site with excellent drainage or in a raised bed, noting that their deep tap root makes transplanting difficult. Although hardy to zone 5, northern areas require extra winter protection. For winter care, prune stems back to 4-6 inches above ground in late fall, water well before ground freezing, and apply a 2-3 inch layer of mulch (keeping it away from stems) to insulate roots and prevent heaving; remove mulch when spring warming begins. These heat and drought-tolerant plants benefit from regular pruning: cut back stems after the first main bloom in early summer for reblooming, reduce height by half when plants reach 12-15 inches tall, and trim by half or two-thirds in mid-June or early July for bushier growth. A final cut to the base in late fall or early spring will rejuvenate growth. While maintenance is important, Gaura won't self-sow, making it easier to control in the garden.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Attracts Hummingbirds
        
        
          
            
          
          Long-Blooming
        
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            Humidity Tolerant
          
      "
Catmint,Nepeta Walker's Low,#VALUE!,"
      Nepeta x faassenii 'Walker's Low' 
    ","Named for a garden in England, not for its size, as it grows to 30"". Lovely blue-violet flowers accent the aromatic, grey-green foliage. Its long season of bloom and carefree habit make Nepeta Walker's Low shine when placed with Coreopsis and Hemerocallis. Engulfed in flowers! Seeds are sterile.",https://www.bluestoneperennials.com/img/NEWL/300/NEWL_0_Nepeta_Walkers-Low.jpg.webp,https://www.bluestoneperennials.com/NEWL,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Early Summer to Late Summer,summer,Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            
                Early Summer to Late Summer
            ","Normal, Sandy","
              
               Normal, Sandy
            ",Medium,"30""","Medium 30""","
              Medium 30"" 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","

              Low
            ",3',,,"
              Plant 3' apart
            ","Prefers dryish, not especially fertile soil. Long blooming, but spent flowers can be sheared off to promote rebloom and/or improve appearance. Cut back by 2/3 in July to promote reblooming in August to end of summer. Cut down in early spring to 4-6"". Can be divided every 3 - 4 years in spring.",,"3,4,5,6,7,8",3-8,"
    Prefers dryish, not especially fertile soil. Long blooming, but spent flowers can be sheared off to promote rebloom and/or improve appearance. Cut back by 2/3 in July to promote reblooming in August to end of summer. Cut down in early spring to 4-6"". Can be divided every 3 - 4 years in spring.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Attracts Hummingbirds
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Rabbit Resistant
        
          
            
              
            
            For a Slope or Bank
          
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            Seaside/Salt Tolerant
          
      "
"Peachleaf Bellflower, Bellflower",Campanula Alba,#VALUE!,"
      Campanula persicifolia 'Alba' 
    ","Graceful spikes of white, cup-shaped flowers in early summer. The wide-open bells of Campanula persicifolia Alba appear on tall stems. Dense basal foliage, but upper leaves on slender stems resemble the narrow, pointed leaves of a peach tree. A good cut flower that reblooms if spikes are cut.",https://www.bluestoneperennials.com/img/CAPA/300/CAPA_0a_Campanula_Persicifolia_Alba_1306_73.jpg.webp,https://www.bluestoneperennials.com/CAPA,"Full Sun, Mostly Sun, Half Sun / Half Shade",Full Sun to Half Sun / Half Shade,,Early Summer to Late Summer,summer,Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            
                Early Summer to Late Summer
            ","Normal, Clay","
              
               Normal, Clay
            ",Medium,2-3',Medium 2-3',"
              Medium 2-3' 
            ","
              
            

              
            

              
            

              
            
            Full Sun to Half Sun / Half Shade
            ","

              Medium
            ","16""",,,"
              Plant 16"" apart
            ","Removing spent flowers stalks will encourage rebloom and discourage seeding (if not wanted). Leave any new fall foliage at the base to overwinter. Pinch when plants are about 6"" tall to eliminate need for staking. Can divide every 3-4 years in the spring. Prefers moist, well-drained soil.",,"3,4,5,6,7,8",3-8,"
    Removing spent flowers stalks will encourage rebloom and discourage seeding (if not wanted). Leave any new fall foliage at the base to overwinter. Pinch when plants are about 6"" tall to eliminate need for staking. Can divide every 3-4 years in the spring. Prefers moist, well-drained soil.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Attracts Hummingbirds
        
        
          
            
          
          Long-Blooming
        
          
            
              
            
            Shade Tolerant
          
      "
"Mum, Football Style Chrysanthemum",Chrysanthemum Cheerleader,#VALUE!,"
      Chrysanthemum  'Cheerleader' 
    ",Brushed amber petals of Football Mum Cheerleader remain huddled close in the center. Gigantic corsage-type flowers on tall sturdy plants. The equal of florist Mums. Chrysanthemums are a must-have for the late summer/fall garden. They reliably deliver a burst of color in a wide variety of shapes and sizes. See all our Mums for additional colors and selections.,https://www.bluestoneperennials.com/img/MCHEE/300/MCHEE_0_Mum_Cheerleader.jpg.webp,https://www.bluestoneperennials.com/MCHEE,Full Sun,Full Sun,,Early Fall to Late Fall,fall,"Perennials,
 
 Mums","
                
                  Perennials,
                
                  Mums
                
              ","
              

            

              
            

              
            

              
            
                Early Fall to Late Fall
            ",Normal,"
              
               Normal
            ",Tall,"36""","Tall 36""","
              Tall 36"" 
            ","
              
            

              
            
            Full Sun
            ","

              Medium
            ","16""",,,"
              Plant 16"" apart
            ","Mums are easy to grow. Likes a well-drained soil. Good drainage is especially important for successful overwintering. We trim the plants back before shipping to promote bushiness, but any ambitious shoot which is getting ahead of the plant should be tipped back. All growing tips should be pinched back until the 4th of July. Do not pinch after 4th of July. Can be divided in spring if needed or if center of clump is not producing new growth. Mulch for winter protection only in very cold areas and be sure to remove the mulch before the spring thaw. Soggy winter wet is very detrimental to Mums. Remove old foliage in spring or late fall. New growth comes from the roots.",,"5,6,7,8,9",5-9,"
    Mums are easy to grow. Likes a well-drained soil. Good drainage is especially important for successful overwintering. We trim the plants back before shipping to promote bushiness, but any ambitious shoot which is getting ahead of the plant should be tipped back. All growing tips should be pinched back until the 4th of July. Do not pinch after 4th of July. Can be divided in spring if needed or if center of clump is not producing new growth. Mulch for winter protection only in very cold areas and be sure to remove the mulch before the spring thaw. Soggy winter wet is very detrimental to Mums. Remove old foliage in spring or late fall. New growth comes from the roots.
    ","
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Long-Blooming
        
      "
"Cranesbill, Perennial Geranium",Geranium Ingwersen's Variety,#VALUE!,"
      Geranium macrorrhizum 'Ingwersen's Variety' 
    ","Pleasant light pink flowers on strong stems with pronounced stamens. Macrorrhizum are more drought tolerant than other Cranesbills. The semi-evergreen aromatic leaves of Geranium Ingwersen's Variety are tinted bronze-red in fall and foliage can be dried for potpourri. Clusters of crimson-red, berrylike seedheads remain after the flower petals fall away. Can be used as a well behaved groundcover - very nice at the base of Clematis. A Garden of Merit award winner. Our plant spacing recommendations are based on how quickly groundcovers will spread in their first season of growth.",https://www.bluestoneperennials.com/img/GEIV/300/GEIV-0a-geranium-ingwersens-variety1-nc.jpg.webp,https://www.bluestoneperennials.com/GEIV,"Full Sun, Mostly Sun, Half Sun / Half Shade, Mostly Shade",Full Sun to Mostly Shady,,Late Spring to Early Summer,"spring,summer","Perennials,
 
 Groundcovers","
                
                  Perennials,
                
                  Groundcovers
                
              ","
              

            

              
            

              
            
                Late Spring to Early Summer
            ","Sandy, Acidic, Normal, Clay","
              
               Sandy, Acidic, Normal, Clay
            ",Short,"12-18""","Short 12-18""","
              Short 12-18"" 
            ","
              
            

              
            

              
            

              
            

              
            
            Full Sun to Mostly Shady
            ","

              Medium
            ","15""",,,"
              Plant 15"" apart
            ",Prefers well-drained soil. Snip off spent flowering stems at the base or shear tops back to new growth to stimulate rebloom and freshen foliage. Generally does not need division but can be divided in spring or fall if desired.,,"4,5,6,7,8",4-8,"
    Prefers well-drained soil. Snip off spent flowering stems at the base or shear tops back to new growth to stimulate rebloom and freshen foliage. Generally does not need division but can be divided in spring or fall if desired.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Fragrant
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Rabbit Resistant
        
          
            
              
            
            Dry Shade Tolerant
          
          
            
              
            
            Edgers
          
          
            
              
            
            Groundcovers
          
          
            
              
            
            OK in Containers
          
          
            
              
            
            Shade Tolerant
          
      "
Ornamental Onion,Allium Millenium,#VALUE!,"
      Allium  'Millenium' 
    ","Combining interesting flower shapes creates a garden design with texture and depth. Its globe-shaped, rosy-purple flowers add a perky, colorful focus to your late summer garden. Mature plants are covered in dozens of long lasting flowers. Foliage is glossy deep green, grass-like and heat tolerant. You will love this low maintenance dependable garden workhorse and pollinators will too! Unlike many Ornamental Alliums, this hybrid is clump-forming and seeding is much less an issue. Bred by horticulture researcher Mark McDonough of Massachusetts. Thank you, Mark!",https://www.bluestoneperennials.com/img/ALMI/300/ALMI_0_Allium_Millenium2_wg.jpg.webp,https://www.bluestoneperennials.com/ALMI,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Mid-Summer to Late Summer,summer,Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            
                Mid-Summer to Late Summer
            ","Normal, Acidic, Sandy","
              
               Normal, Acidic, Sandy
            ",Short,"18""","Short 18""","
              Short 18"" 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","

              Low
            ","12-18""",,,"
              Plant 12-18"" apart
            ","Clumps may be lifted and divided in either spring or fall. Allium will tolerate most soils, but performs best in sandy soils. Add organic matter like compost to clay soils if needed to improve drainage and lighten the soil.",,"4,5,6,7,8,9",4-9,"
    Clumps may be lifted and divided in either spring or fall. Allium will tolerate most soils, but performs best in sandy soils. Add organic matter like compost to clay soils if needed to improve drainage and lighten the soil.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Fragrant
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Rabbit Resistant
        
        
          
            
          
          Winter Interest
        
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            OK in Containers
          
      "
"Cornflower Aster, Stokes Aster",Stokesia Bluestone,#VALUE!,"
      Stokesia  'Bluestone' 
    ",Immense light periwinkle-blue flowers with 'ripped' petals. This variety of perennial Stokesia merited its selection from our fields here in Madison. Young plants bloom as heavily as regular two year old plants. Eye catching!,https://www.bluestoneperennials.com/img/STBL/300/STBL_0_Stokesia_Bluestone.jpg.webp,https://www.bluestoneperennials.com/STBL,Full Sun,Full Sun,,Mid-Summer to Early Fall,"summer,fall",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            
                Mid-Summer to Early Fall
            ",Normal,"
              
               Normal
            ",Medium,"18""","Medium 18""","
              Medium 18"" 
            ","
              
            

              
            
            Full Sun
            ","

              Low
            ","14""",,,"
              Plant 14"" apart
            ","Well-drained soil is necessary for this plant. Very adaptable to moist or dry conditions, but no standing water. Can be divided every 4 - 6 years in spring. Deadhead individual spent flowers and stems to encourage additional bloom. Cut stalks to base when flowering has ceased.",,"5,6,7,8,9",5-9,"
    Well-drained soil is necessary for this plant. Very adaptable to moist or dry conditions, but no standing water. Can be divided every 4 - 6 years in spring. Deadhead individual spent flowers and stems to encourage additional bloom. Cut stalks to base when flowering has ceased.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Attracts Hummingbirds
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Rabbit Resistant
        
          
            
              
            
            Humidity Tolerant
          
      "
Spotted Dead Nettle,Lamium Pink Pewter,#VALUE!,"
      Lamium maculatum 'Pink Pewter' 
    ","Scalloped blue-green margins and shimmering silvery centers of Pink Pewter brighten shady gardens and create a dramatic backdrop for the masses of small, tubular, soft pink flowers. Stunning planted among Hosta and Ferns. Our plant spacing recommendations are based on how quickly groundcovers will spread in their first season of growth.",https://www.bluestoneperennials.com/img/LAPP/300/LAPP_0_Lamium_Pink_Pewter.jpg.webp,https://www.bluestoneperennials.com/LAPP,"Mostly Sun, Half Sun / Half Shade, Mostly Shade, Full Shade",Mostly Sunny to Full Shade,,Late Spring to Early Summer,"spring,summer","Perennials,
 
 Groundcovers","
                
                  Perennials,
                
                  Groundcovers
                
              ","
              

            

              
            

              
            
                Late Spring to Early Summer
            ","Normal, Clay","
              
               Normal, Clay
            ",Short,"6""","Short 6""","
              Short 6"" 
            ","
              
            

              
            

              
            

              
            

              
            
            Mostly Sunny to Full Shade
            ","

              Medium
            ","16""",,,"
              Plant  16"" apart
            ","Vigorous grower but non invasive. Shear back to 4 to 6"" if it gets leggy or cut back to new leaves at base of plant in midsummer. Can be divided as needed in spring or fall. Will self seed but seedlings may not grow true to parent.",,"3,4,5,6,7,8",3-8,"
    Vigorous grower but non invasive. Shear back to 4 to 6"" if it gets leggy or cut back to new leaves at base of plant in midsummer. Can be divided as needed in spring or fall. Will self seed but seedlings may not grow true to parent.
    ","
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Rabbit Resistant
        
          
            
              
            
            For a Slope or Bank
          
          
            
              
            
            Dry Shade Tolerant
          
          
            
              
            
            Groundcovers
          
          
            
              
            
            Shade Tolerant
          
      "
"Cranesbill, Perennial Geranium",Geranium Brookside,#VALUE!,"
      Geranium  'Brookside' 
    ","Breathtaking, long-blooming sapphire blue flowers with white eyes adorn Geranium Brookside. Flowers glow when summer sun shines through the delicate petals. The deeply cut lacy mounds of dark green foliage paints the garden in shades of reddish-orange in fall. Great for cottage gardens and easy to maintain.",https://www.bluestoneperennials.com/img/GEBR/300/GEBR_0_Geranium_Brookside.jpg.webp,https://www.bluestoneperennials.com/GEBR,"Full Sun, Mostly Sun, Half Sun / Half Shade, Mostly Shade",Full Sun to Mostly Shady,,Late Spring to Mid-Summer,"spring,summer",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            
                Late Spring to Mid-Summer
            ","Normal, Sandy, Acidic","
              
               Normal, Sandy, Acidic
            ",Medium,"18-24""","Medium 18-24""","
              Medium 18-24"" 
            ","
              
            

              
            

              
            

              
            

              
            
            Full Sun to Mostly Shady
            ","

              Medium
            ","24""",,,"
              Plant 24"" apart
            ",Prefers compost-enriched soil that stays moist. Snip off spent flowering stems at the base or shear tops back to new growth to stimulate rebloom and freshen foliage. Generally does not need division but can be divided in spring or fall if desired.,,"4,5,6,7,8",4-8,"
    Prefers compost-enriched soil that stays moist. Snip off spent flowering stems at the base or shear tops back to new growth to stimulate rebloom and freshen foliage. Generally does not need division but can be divided in spring or fall if desired.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Rabbit Resistant
        
          
            
              
            
            Shade Tolerant
          
      "
Brown Eyed Susan,Rudbeckia Goldsturm,#VALUE!,"
      Rudbeckia fulgida var. sullivantii 'Goldsturm' 
    ","Dazzling mounds of yellow flowers with a deep brown center. Rudbeckia Goldsturm is very long blooming. It is unbothered by insects or drought. A group of Rudbeckia Goldsturm is a must in every garden! Mid-summer blooming, thru fall. Very popular with good reason.",https://www.bluestoneperennials.com/img/RUGO/300/RUGO_0a_rudbeckia_goldstrum_7260011.jpg.webp,https://www.bluestoneperennials.com/RUGO,Full Sun,Full Sun,,Late Summer to Mid-Fall,"summer,fall",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            
                Late Summer to Mid-Fall
            ","Normal, Clay, Sandy, Acidic","
              
               Normal, Clay, Sandy, Acidic
            ",Medium,"24""","Medium 24""","
              Medium 24"" 
            ","
              
            

              
            
            Full Sun
            ","

              Low
            ","18""",,,"
              Plant 18"" apart
            ","Prefer moist, fertile well-drained soil. Although drought tolerant, Rudbeckia bloom better with ample moisture. Pinching can produce more compact plants in taller varieties. Allow seeds to fall to assure permanence in the garden. Spent flower heads can be cut back to prevent too many volunteers. Can be divided every 4 years in spring. Spent foliage can be cut back to 6"" for a flush of new growth.",,"3,4,5,6,7,8,9",3-9,"
    Prefer moist, fertile well-drained soil. Although drought tolerant, Rudbeckia bloom better with ample moisture. Pinching can produce more compact plants in taller varieties. Allow seeds to fall to assure permanence in the garden. Spent flower heads can be cut back to prevent too many volunteers. Can be divided every 4 years in spring. Spent foliage can be cut back to 6"" for a flush of new growth.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Winter Interest
        
          
            
              
            
            OK in Containers
          
          
            
              
            
            Seaside/Salt Tolerant
          
      "
Blanket Flower,Gaillardia Arizona Sun,#VALUE!,"
      Gaillardia grandiflora 'Arizona Sun' 
    ","Large, fiery orange-red blossoms of Arizona Sun are tipped by a ring of rich flame yellow. Forms a neat mound of lance-shaped, grayish-green leaves. Near the end of the season, spent flower heads can be left to attract goldfinches to the seed. An All-American Selections Award Winner 2005.",https://www.bluestoneperennials.com/img/GAAS/300/GAAS_0_Gaillardia_Arizona-Sun.jpg.webp,https://www.bluestoneperennials.com/GAAS,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Early Summer to Early Fall,"summer,fall",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            

              
            
                Early Summer to Early Fall
            ","Normal, Sandy","
              
               Normal, Sandy
            ",Short,"12-15""","Short 12-15""","
              Short 12-15"" 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","

              Low
            ","15""",,,"
              Plant 15"" apart
            ",New plantlets can be started by cutting straight down along the side of a clump in midsummer. New plants will form at the severed roots. Completely carefree. Best in poor loose soils (no clay).,,"3,4,5,6,7,8,9",3-9,"
    New plantlets can be started by cutting straight down along the side of a clump in midsummer. New plants will form at the severed roots. Completely carefree. Best in poor loose soils (no clay).
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Long-Blooming
        
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            Humidity Tolerant
          
          
            
              
            
            OK in Containers
          
          
            
              
            
            Seaside/Salt Tolerant
          
      "
Sweet William,Dianthus Sweet Black Cherry,#VALUE!,"
      Dianthus barbatus 'Sweet Black Cherry' 
    ","Velvety, deep red blossoms of Dianthus Sweet Black Cherry cluster atop dark green foliage. Delicate, pure white stamens absolutely glow against the rich coloring and appear to magically float above the flower. Fragrant flowers perfume the garden in late spring. Sweet William, a charming old favorite, is so effective in masses. Self-sows readily so future plants are assured. A colorful carpet from spring into summer. Straight stems are perfect for bouquets. Each stem is topped with a perfectly arranged nosegay of blossoms.",https://www.bluestoneperennials.com/img/DIBC/300/DIBC_0_dianthus_sweet_black_cherry_fg.jpg.webp,https://www.bluestoneperennials.com/DIBC,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Late Spring to Mid-Summer,"spring,summer",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            
                Late Spring to Mid-Summer
            ","Normal, Clay, Sandy","
              
               Normal, Clay, Sandy
            ",Medium,"18-36""","Medium 18-36""","
              Medium 18-36"" 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","

              Medium
            ","10-14""",,,"
              Plant 10-14"" apart
            ","Sweet William tends to be biennial so allow seed to fall. During growing season, lightly fertilize monthly to keep them growing and producing. Deadhead early season blooms to encourage new buds to form. To ensure future plants, leave late-season faded blossoms on stems. Prefers a moist well-drained soil.",,"3,4,5,6,7,8,9",3-9,"
    Sweet William tends to be biennial so allow seed to fall. During growing season, lightly fertilize monthly to keep them growing and producing. Deadhead early season blooms to encourage new buds to form. To ensure future plants, leave late-season faded blossoms on stems. Prefers a moist well-drained soil.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Fragrant
        
        
          
            
          
          Attracts Hummingbirds
        
        
          
            
          
          Long-Blooming
        
          
            
              
            
            OK in Containers
          
      "
"Threadleaf Coreopsis, Tickseed",Coreopsis Moonbeam,#VALUE!,"
      Coreopsis verticillata 'Moonbeam' 
    ","Freely produced soft yellow flowers are a charming addition to your sunny garden. Flowers appear singly on short stalks continuously blooming from early summer right into fall. The dainty, finely-cut foliage adds texture and an interesting contrast to surrounding perennials. Coreopsis spread slowly but surely and can be used in a naturalized planting on a sunny bank or in the traditional border. Coreopsis Moonbeam is lovely paired with Echinacea or Campanula. Road salt tolerant.",https://www.bluestoneperennials.com/img/COMO/300/COMO_0_Coreopsis_Moonbeam.jpg.webp,https://www.bluestoneperennials.com/COMO,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Early Summer to Mid-Fall,"summer,fall",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            

              
            

              
            
                Early Summer to Mid-Fall
            ","Normal, Sandy","
              
               Normal, Sandy
            ",Short,to,"Short to Medium 18""","
              Short to Medium 18"" 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","

              Low
            ","14""",,,"
              Plant 14"" apart
            ","Prefers a nice sunny well-drained spot. Very easy to grow. Remove top one-third of plant with hedge shears after flowering to freshen foliage, if needed. Spreads reliably, so division every 2-3 years may be needed to restrain girth, but only if desired.",,"3,4,5,6,7,8,9",3-9,"
    Prefers a nice sunny well-drained spot. Very easy to grow. Remove top one-third of plant with hedge shears after flowering to freshen foliage, if needed. Spreads reliably, so division every 2-3 years may be needed to restrain girth, but only if desired.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Long-Blooming
        
          
            
              
            
            For a Slope or Bank
          
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            Humidity Tolerant
          
          
            
              
            
            OK in Containers
          
          
            
              
            
            Seaside/Salt Tolerant
          
      "
"Bleeding Heart, Fern-Leaf Bleeding Heart",Dicentra Amore™ Titanium,Dicentra eximia 'Amore™ Titanium',"
      Dicentra eximia 'Amore™ Titanium' 
      (PP35,856)
      
    ","Bountiful snow-white flowers add serene elegance to a shaded perennial garden. Clusters of heart-shaped dangling jewels, rich in nectar, are an early-season treat for hummingbirds. Flowers for months above blue-green lacy foliage. Dicentra Titanium from the Amore™ Series is vigorous and reliable. This Fern-Leaf Bleeding Heart tolerates heat better than classic Bleeding Hearts but will perform with better flowering in a cooler location with some shade.",https://www.bluestoneperennials.com/img/DIAT/300/DIAT-0-Dicentra-Amore-Titanium1-tn.jpg.webp,https://www.bluestoneperennials.com/DIAT,"Half Sun / Half Shade, Mostly Shade, Full Shade",Half Sun / Half Shade to Full Shade,,Late Spring to Early Fall,"spring,summer,fall",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            

              
            

              
            
                Late Spring to Early Fall
            ","Normal, Sandy, Acidic","
              
               Normal, Sandy, Acidic
            ",Short,"14""","Short 14""","
              Short 14"" 
            ","
              
            

              
            

              
            

              
            
            Half Sun / Half Shade to Full Shade
            ","
              Plantable Pots (3.5x3.5x4"")
            ","18""",,,"
              Plant 18"" apart
            ","Likes high-organic, well-drained soil. After all flowers fade on flowerscapes, cut flower stems down to basal foliage-this can prolong bloom into fall. Can cut back for the winter after a killing frost.",,"5,6,7,8,9",5-9,"
    Likes high-organic, well-drained soil. After all flowers fade on flowerscapes, cut flower stems down to basal foliage-this can prolong bloom into fall. Can cut back for the winter after a killing frost.
    ","
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Attracts Hummingbirds
        
        
          
            
          
          Long-Blooming
        
          
            
              
            
            Edgers
          
          
            
              
            
            Shade Tolerant
          
      "
